INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Chamberlain University-Louisiana,Jefferson,LA,0,3,0,0.25,NULL,75,0.0533,NULL,NULL,NULL,1,NULL
Drury University-College of Continuing Professional Studies,Springfield,MO,3,2,0,NULL,NULL,1419,0.0747,NULL,NULL,NULL,1,0.7619
Global Medical & Technical Training Institute,Miami,FL,1,3,0,NULL,NULL,18,1,NULL,NULL,NULL,3,0
Salon Success Academy-West Covina,West Covina,CA,1,3,0,NULL,NULL,37,0.7027,NULL,NULL,NULL,3,0.6667
Indiana Institute of Technology-College of Professional Studies,Fort Wayne,IN,3,2,0,NULL,NULL,4456,0.0474,NULL,NULL,NULL,1,0.871
Advantage Technical College,San Juan,PR,0,3,0,NULL,NULL,46,1,NULL,NULL,NULL,3,NULL
Institute of Culinary Education,Pasadena,CA,0,3,0,NULL,NULL,173,0.185,NULL,NULL,NULL,3,NULL
Universal Technical Institute-Bloomfield,Bloomfield,NJ,0,3,0,NULL,NULL,228,0.5132,NULL,NULL,NULL,2,NULL
Gould's Academy,Bartlett,TN,1,3,0,NULL,NULL,58,0.0172,NULL,NULL,NULL,3,0.6667
Stanbridge University-Los Angeles,Alhambra,CA,0,3,0,0.5,NULL,28,0.2857,NULL,NULL,NULL,2,NULL
Toni & Guy Hairdressing Academy-Rio Rancho,Rio Rancho,NM,1,3,0,NULL,NULL,37,0.6216,NULL,NULL,NULL,3,0.75
Career Quest Learning Center-Bay City Branch,Bay City,MI,1,3,0,NULL,NULL,65,0.1231,NULL,NULL,NULL,2,0.5833
WellSpring School of Allied Health-Springfield,Springfield,MO,0,3,0,NULL,NULL,66,0.0303,NULL,NULL,NULL,2,1
Troy University-Phenix City Campus,Phenix City,AL,0,1,NULL,NULL,NULL,NULL,NULL,0.249147404,0.722014622,0.389845712,1,NULL
Troy University-Montgomery Campus,Montgomery,AL,0,1,NULL,NULL,NULL,NULL,NULL,0.249147404,0.722014622,0.389845712,1,NULL
